table_name,column_name,column_comment,data_type,sample_value,business_context,label_id
integration,client_secret,客户端密钥,varchar,sec_***,系统集成,auth_token
auth,session_id,会话标识,varchar,sess_***,账号安全,auth_token
address_book,address,联系地址,varchar,北京市海淀区***,用户管理,address
order,receiver_address,收货地址,varchar,上海市浦东新区***,电商订单,address
employee,home_addr,家庭住址,varchar,广州市天河区***,人力资源,address
customer,mailing_address,通讯地址,varchar,深圳市南山区***,客户关系管理,address
invoice,invoice_address,发票寄送地址,varchar,杭州市西湖区***,开票业务,address
location,longitude,经度,decimal,116.397128,位置服务,precise_location
location,latitude,纬度,decimal,39.916527,位置服务,precise_location
track,gps_point,轨迹点,varchar,"116.3,39.9",出行轨迹,precise_location
delivery,location_detail,配送实时位置,varchar,"121.4,31.2",物流配送,precise_location
map,user_location,用户定位,varchar,"lat=39.9,lng=116.3",地图服务,precise_location
medical_record,diagnosis,诊断结果,varchar,高血压,医疗健康,health_info
health,blood_pressure,血压,varchar,120/80,健康管理,health_info
medical_record,medical_history,既往病史,text,糖尿病,医疗健康,health_info
health,heart_rate,心率,int,78,健康设备,health_info
hospital,prescription,处方信息,text,药品A,医疗服务,health_info
face_auth,face_template,人脸特征模板,binary,base64***,身份核验,biometric_info
device,fingerprint_hash,指纹特征值,varchar,fp_***,设备解锁,biometric_info
voice,voiceprint_id,声纹标识,varchar,vp_***,声纹认证,biometric_info
iris,iris_template,虹膜模板,binary,bin***,身份核验,biometric_info
access,biometric_feature,生物识别特征,binary,feature***,门禁系统,biometric_info
order,order_id,订单号,varchar,OD202607010001,电商订单,order_id
ticket,ticket_no,工单号,varchar,TK20260701001,客服工单,order_id
payment,trade_no,交易流水号,varchar,TRX20260701001,支付业务,order_id
shipment,waybill_no,运单号,varchar,SF123456789,物流配送,order_id
refund,refund_id,退款单号,varchar,RF20260701001,售后退款,order_id
order,pay_amount,支付金额,decimal,199.00,电商订单,transaction_amount
wallet,balance,账户余额,decimal,1024.88,钱包业务,transaction_amount
invoice,total_price,发票总金额,decimal,5600.00,开票业务,transaction_amount
loan,repay_amount,还款金额,decimal,3000.00,信贷业务,transaction_amount
finance,service_fee,服务费,decimal,9.90,财务结算,transaction_amount
payment,payment_account,支付账号,varchar,pay_***,支付业务,payment_account
settlement,receive_account,收款账号,varchar,acct_***,财务结算,payment_account
wallet,alipay_id,支付宝账号,varchar,a***@mail.com,钱包业务,payment_account
merchant,merchant_pay_account,商户结算账号,varchar,m_pay_***,商户结算,payment_account
refund,refund_account,退款账户,varchar,refund_***,售后退款,payment_account
login_log,client_ip,客户端IP,varchar,192.168.1.10,登录日志,ip_address
access_log,remote_addr,访问IP,varchar,10.0.0.1,访问日志,ip_address
risk,ip_address,风险IP,varchar,8.8.8.8,风控系统,ip_address
gateway,source_ip,来源IP,varchar,172.16.0.1,网关日志,ip_address
audit,last_login_ip,最近登录IP,varchar,203.0.113.1,审计日志,ip_address
device,device_id,设备ID,varchar,dev_abc123,设备管理,device_id
mobile,imei,IMEI,varchar,8600********123,移动设备,device_id
mobile,imsi,IMSI,varchar,4600********456,移动设备,device_id
network,mac_address,MAC地址,varchar,00:11:22:**:**:**,网络设备,device_id
app,idfa,广告标识,varchar,idfa_***,移动应用,device_id
behavior,click_event,点击事件,varchar,button_pay,用户行为,behavior_log
visit,page_view,页面浏览记录,varchar,/product/1,用户行为,behavior_log
search,search_keyword,搜索关键词,varchar,手机,站内搜索,behavior_log
log,browse_history,浏览历史,text,"itemA,itemB",用户行为,behavior_log
analytics,user_action,用户行为动作,varchar,add_cart,数据分析,behavior_log
crm,customer_list,客户名单,text,公司A;公司B,客户关系管理,enterprise_customer
crm,client_level,客户分层,varchar,A级客户,客户关系管理,enterprise_customer
sales,contact_person,客户联系人,varchar,刘经理,销售管理,enterprise_customer
supplier,vendor_name,供应商名称,varchar,供应商A,供应链,enterprise_customer
crm,customer_source,客户来源,varchar,展会,客户关系管理,enterprise_customer
contract,contract_no,合同编号,varchar,HT20260701001,合同管理,contract_info
contract,contract_amount,合同金额,decimal,1000000.00,合同管理,contract_info
contract,agreement_file,协议文件路径,varchar,/files/a.pdf,合同管理,contract_info
legal,contract_status,合同状态,varchar,履行中,法务管理,contract_info
procurement,purchase_agreement,采购协议,varchar,PA202607,采购管理,contract_info
finance,profit,利润,decimal,500000.00,经营分析,financial_report
finance,cost,成本,decimal,300000.00,经营分析,financial_report
finance,budget,预算,decimal,2000000.00,预算管理,financial_report
finance,revenue,收入,decimal,800000.00,经营分析,financial_report
report,financial_statement,财务报表,text,Q2财报,财务管理,financial_report
rd,source_code,源代码,text,def secret(),研发管理,trade_secret
algorithm,model_formula,算法公式,text,y=wx+b,算法研发,trade_secret
product,technical_secret,技术秘密,text,核心参数,研发管理,trade_secret
recipe,formula,配方,text,A+B+C,生产管理,trade_secret
strategy,business_secret,经营秘密,text,未公开计划,经营管理,trade_secret
notice,public_notice,公开公告,text,系统维护公告,门户网站,public_info
news,open_news,公开新闻,text,公司新闻,门户网站,public_info
statistics,public_stat,公开统计数据,int,100,公开报告,public_info
product,public_description,公开产品描述,text,产品介绍,官网展示,public_info
policy,open_policy,公开政策文本,text,政策原文,政策公开,public_info
workflow,status,流程状态,varchar,处理中,内部流程,internal_operational_data
org,department_name,部门名称,varchar,数据部,组织管理,internal_operational_data
task,task_status,任务状态,varchar,完成,项目管理,internal_operational_data
inventory,stock_status,库存状态,varchar,充足,仓储管理,internal_operational_data
system,config_flag,配置标识,bool,true,系统配置,internal_operational_data
