rule_id,rule_name,rule_type,priority,enabled,keywords,regex_features,output_category_level1,output_category_level2,minimum_level,risk_tags,legal_basis,explanation,controls,review_required
CARBON-TRADE-001,碳配额交易识别,grading,80,true,quota|allowance|carbon_trade|碳配额|碳交易|清缴|履约,,碳排放与环境数据,碳配额交易,L3,carbon_data_risk|trade_secret_candidate,碳排放权交易管理暂行条例,碳配额交易和履约信息关系到监管合规和企业经营利益，应控制访问和导出。,分级授权|交易留痕|访问审计,false
CARBON-VERIFY-001,碳核查报告识别,grading,75,true,verification|verify_report|audit_report|核查报告|核查结论|第三方核查,,碳排放与环境数据,核查报告,L3,carbon_data_risk,碳排放权交易管理暂行条例,碳核查报告承载监管核验和履约证明，应保证完整性和可追溯。,留痕审计|版本管理|授权访问,false
AI-TRAIN-001,AI训练数据识别,grading,80,true,training_data|train_dataset|corpus|训练数据|语料|数据集,,人工智能安全数据,训练数据,L3,ai_safety_risk,生成式人工智能服务管理暂行办法|数据安全法,AI训练数据应关注来源合法性真实性准确性和个人信息保护要求。,来源审查|去标识化|质量评估|留痕管理,false
AI-LABEL-001,AI标注数据识别,grading,70,true,label_data|annotation|rating|preference|标注数据|标注|评分|偏好,,人工智能安全数据,标注数据,L3,ai_safety_risk,生成式人工智能服务管理暂行办法,标注数据会影响模型行为和偏好，需关注质量偏差和权益影响。,质量抽检|权限控制|版本留痕,false
AI-PROMPT-001,提示词数据识别,grading,75,true,prompt|system_prompt|instruction|提示词|系统提示|指令,,人工智能安全数据,提示词数据,L3,ai_safety_risk,生成式人工智能服务管理暂行办法,提示词和上下文可能包含个人信息商业秘密或越权指令，应控制记录和使用范围。,敏感信息过滤|日志脱敏|访问控制,false
AI-OUTPUT-001,模型输出识别,grading,70,true,completion|model_output|response|生成内容|模型输出|回答,,人工智能安全数据,模型输出,L3,ai_safety_risk,生成式人工智能服务管理暂行办法,模型输出可能涉及违法有害信息个人信息泄露或不准确信息传播，应进行安全评估和留痕。,内容审核|风险拦截|输出留痕,false
AI-RISK-001,AI风险事件识别,grading,95,true,ai_risk|risk_event|incident|illegal_output|deepfake|风险事件|违法输出|深度合成,,人工智能安全数据,AI风险事件记录,L4,ai_safety_risk,生成式人工智能服务管理暂行办法|数据安全法,AI风险事件记录可能涉及违法有害输出个人信息泄露或模型安全问题，应保留证据并人工复核。,保存日志|人工复核|风险报告|模型整改,true
AI-PRIVACY-001,AI个人信息泄露风险识别,grading,95,true,privacy_leak|personal_data_leak|个人信息泄露|隐私泄露,,人工智能安全数据,AI个人信息泄露风险,L4,ai_safety_risk|personal_info,生成式人工智能服务管理暂行办法|个人信息保护法,AI服务发生个人信息泄露或异常输出个人信息时需要及时处置并评估报告义务。,停止输出|保存证据|通知评估|人工复核,true
PUBLIC-001,公开公告识别,grading,20,true,public|notice|announcement|公开|公告|门户,,公共或普通业务数据,公开信息,L1,public_data,GB/T 43697-2024,公开公告类数据通常属于低敏数据，但仍应确保内容准确和发布合规。,内容审核|版本管理,false
REVIEW-LOWCONF-001,低置信度复核,grading,10,true,unknown|other|未知|其他,,其他,待复核数据,L2,need_manual_review,GB/T 43697-2024,无法明确分类或模型置信度不足时不应自动给出高确定性结论，应进入人工复核。,人工复核|补充字段注释|补充业务场景,true
